1,DFS,2137

2,DFS,12989

3,DFS,76312

4,DFS,140778

5,DFS,1789

6,DFS,4941

7,DFS,5525

8,DFS,1302

9,DFS,20071

10,DFS,1516

11,DFS,1856

12,DFS,11837

13,DFS,13619

14,DFS,3295

15,DFS,12572

16,DFS,10490

17,DFS,2076

18,DFS,76248

19,DFS,58566

20,DFS,44727

21,DFS,61688

22,DFS,632

23,DFS,8650

24,DFS,3619

25,DFS,1764

26,DFS,6356

27,DFS,4125

28,DFS,27829

29,DFS,11324

30,DFS,4365

31,DFS,16759

32,DFS,3946

33,DFS,3725

34,DFS,8392

35,DFS,8924

36,DFS,9381

37,DFS,1205

38,DFS,3693

39,DFS,3070

40,DFS,303538

41,DFS,48445

42,DFS,10059

43,DFS,56117

44,DFS,12746

45,DFS,3663

46,DFS,3626

47,DFS,3341

48,DFS,3266

49,DFS,32593

50,DFS,84025

51,DFS,2791

52,DFS,6680

53,DFS,3705

54,DFS,5254

55,DFS,26386

56,DFS,3813

57,DFS,2362

58,DFS,2058

59,DFS,2139

60,DFS,5676

61,DFS,6053

62,DFS,66138

63,DFS,5660

64,DFS,18551

65,DFS,3031

66,DFS,6148

67,DFS,3815

68,DFS,91005

69,DFS,12369

70,DFS,1953

71,DFS,4136

72,DFS,6644

73,DFS,58900

74,DFS,51028

75,DFS,14686

76,DFS,9335

77,DFS,5543

78,DFS,4933

79,DFS,13989

80,DFS,3228

81,DFS,23195

82,DFS,1185

83,DFS,4300

84,DFS,295041

85,DFS,2571

86,DFS,1755

87,DFS,6936

88,DFS,31359

89,DFS,1033

90,DFS,3736

91,DFS,101657

92,DFS,34802

93,DFS,43982

94,DFS,116659

95,DFS,9601

96,DFS,854

97,DFS,34443

98,DFS,2837

99,DFS, 12333

100,DFS, 9984

